,Educational Games I have played,Price (most free),Format,Play It?,Link,Catigory,Notes,Length (Hours),Grade Level (Minimum),Image Link,Lesson Plans,Filament Games
Edu,Rational Redux,0,Flash(works in chrome),Yes,http://www.kongregate.com/games/tjubert/ir-rational-redux,Math,Logic puzzles and proofs (propositional calculus)[Profanity],<1,6+,RationalRedux,,
,Tools (Teaches nothing on it's own),Price,Format,Play It?,Link,,Notes,,,,,
Tool,Minecraftedu,???,exe,Yes,https://education.minecraft.net/,Anything,It takes a skilled teacher to make this worth using.,∞,0+,MinecraftEdu,,
Tool,,0,Web,,https://www.geogebra.org/,Graphing,,∞,,,,
Tool,Desmos,0,Web,,https://www.desmos.com/,Graphing,,∞,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,WrkBk (workbook text dumps then tests),,Format,Play It?,Link,,Notes,,,,,
WorkBook,Excavate! Byzantine Education Game,$4,multiple,No,https://dig-itgames.com/portfolio/excavate-byzantine-social-studies-game/,History,An archiologist looks at Byzantine culture,,,ExcavateByzantine,,
WorkBook,Excavate! Mesopotamia,$4,multiple,No,https://dig-itgames.com/portfolio/excavate-mesopotamia-world-history-game-culture/#Mat,History,An archiologist looks at Mesopotamian culture,,,ExcavateMesopotamia,,
WorkBook,Excavate! Egypt,$4,multiple,No,https://dig-itgames.com/portfolio/excavate-egypt-world-history-lesson-game/,History,An archiologist looks at Egyptian culture,,,ExcavateEgypt,,
WorkBook,Excavate! Mesoamerica,$4,multiple,No,https://dig-itgames.com/portfolio/excavate-mesoamerica-inca-maya-history-game/,History,An archiologist looks at Mesoamerican culture,,,ExcavateMesoamerica,,
WorkBook,Excavate! Greece,$4,multiple,No,https://dig-itgames.com/portfolio/excavate-greece-world-history-greek/,History,An archiologist looks at anchient Greek culture,,,ExcavateGreece,,
WorkBook,Excavate! Rome,$4,multiple,No,https://dig-itgames.com/portfolio/excavate-ancient-rome-social-studies/,History,An archiologist looks at anchient Roman culture,,,ExcavateRome,,
Edu,Roman Town 2,$1,multiple,NO!,https://dig-itgames.com/portfolio/roman-town-2-social-studies-puzzles/,History,Random mini-games intercut with Roman culture,,,RomanTown2,,
WorkBook,Loot Pursuit: Early America,$3,Web,No,https://dig-itgames.com/portfolio/maya-math-education-game/,Math,Math practice (visual novel intercut with math problems),,2-6,LootEarly,,
WorkBook,Loot Pursuit: Maya,$3,Web,No,https://dig-itgames.com/portfolio/maya-math-education-game/,Math,Math practice (visual novel intercut with math problems),,2-6,LootMaya,,
,,,,,,,,,,,,
,Non-Subject Based,Price,Format,Play It?,Link,,Notes,,,,,
Edu,Brilliant.org,0/25month,Web,No,Brilliant.org,Many,What 2010 thought textbooks would be in 2020.,∞,9+,Brillian,,
Edu,CK-12,0,Web,,https://www.ck12.org/student/,Many,What 2020 textbooks should look like.,,,,,
Edu,The Sports Network 2,0,Flash,No,https://www.brainpop.com/games/thesportsnetwork2/,Job,Working at a news company,,4+,,,
Issue,Digital Compass,0,Flash,NO!,https://www.brainpop.com/games/digitalcompass/,Issue,"""morality"" (very vague and unhelpful) (propaganda)",,2-4,,,
Edu,Medmyst Animal Alert!,0,Flash,Yes,https://www.brainpop.com/games/medmystanimalalert/,Job,Job as a pathologist,,6+,,,
Edu,Quandary,0,Web,Yes,https://www.brainpop.com/games/quandary/,Managment,Making decisions based on public opinion,,4+,,,
Edu,After The Storm: Day One,0,Web,Yes,https://www.brainpop.com/games/afterthestormdayone/,Job,Job at a modern newspaper,,6+,,,
Edu,Community In Crisis: Aftermath,0,Web,No,https://www.brainpop.com/games/communityincrisistheaftermath/,Job,Running a community center,,6+,,,
,Homework Games (Practicing Skills Rather Than Learning New Ones),Must be free,Format,Play It?,Link,,Notes,,,,,
,     Most Problems In These Games Have Exactly 1 Solution.,,,,,,,,,,,
HW,Addition Blocks,0,Web,Yes,https://www.brainpop.com/games/additionblocks/,Math,Math practice (addition) [Actually good],,1-4,,,
HW,Multiplication Blocks,0,Web,Yes,https://www.brainpop.com/games/multiplicationblocks/,Math,Math practice (multiplication) [Actually good],,2-4,,,
HW,La Torre De Nozar,0,exe,Yes,https://sebagames.itch.io/la-torre-de-nozar,Math,Math practice (MATH PUNCHER!),,2-4,,,
HW,Gate,0,Flash,YES!,https://www.brainpop.com/games/gate/,Math,Math practice (addution and subtraction),,2-4,,,
HW,Number Munchers,0,,Maybe,https://classicreload.com/number-munchers.html,Math,Math practice (+ - x / primes),,1-4,,,
HW,Lure Of The Labyrinth: Cafeteria,0,Flash,No,https://www.brainpop.com/games/lureofthelabyrinthemployeecafeteria/,Math,Math practice (confusing),,,,,
HW,Math Blaster (Original),0,,No,https://classicreload.com/math-blaster-plus.html,Math,Math practice (confusing),,1-4,,,
HW,Math Blaster (Modern),0,exe,No,http://www.mathblaster.com/,Math,"Math practice and ""educational"" mini-games",,0-4,,,
HW,Lure Of The Labyrinth: Lounge,0,Flash,No,https://www.brainpop.com/games/lureofthelabyrinthemployeelounge/,Math,Math practice (confusing),,,,,
HW,Lure Of The Labyrinth: Mine,0,Flash,No,https://www.brainpop.com/games/lureofthelabyrinthmineshaft/,Math,Math practice (confusing),,,,,
HW,Number Jumble,0,Flash,No,https://www.brainpop.com/games/numberjumble/,Math,Math practice (very boring),,1-4,,,
HW,Primary Krypto,0,Flash,Maybe,https://www.brainpop.com/games/primarykrypto/,Math,Math practice (relatively complicated),,1-4,,,
HW,Teachley Mt. Multiplis,0,Web,No,https://www.brainpop.com/games/teachleymtmultiplis/,Math,Math practice (Visual multiplication),,,,,
HW,Deep Sea Duel,0,Flash,No,https://www.brainpop.com/games/deepseaduel/,Math,Math practice (addition),,1-4,,,
HW,Addition Snowball Fight,0,,Yes,https://www.newgrounds.com/portal/view/489100,Math,Math practice (addition),,1-4,,,
HW,Jelly Bean,0,Flash,No,https://www.brainpop.com/games/jellybean/,Math,Math practice (addition and subtraction),,1-2,,,
HW,Riddlebooks,0,Flash,No,https://www.brainpop.com/games/riddlebooks/,Math,Math practice / word problems (bad user interface),,2-4,,,
HW,Mathoria (Series),0,exe,No,http://store.steampowered.com/app/434480/Mathoria_It_All_Adds_Up/,Math,Math practice (RPG with math poorly replacing combat),,,,,
HW,Loot Pursuit: Pompeii,0/$4,IOS,No,https://itunes.apple.com/us/app/loot-pursuit-pompeii/id853849610?mt=8,Math,Math practice (visual novel intercut with math problems),,2-6,LootPompeii,,
HW,Gi-Tract Chain Game,0,,YES!,https://www.newgrounds.com/portal/view/650397,Biology,GI-Tract (learn parts of the digestion system),,4+,,,
HW,Amino Acid Match Game,0,,Maybe,https://www.newgrounds.com/portal/view/631652,Biology,Human Amino Acids (test with no tutorial at all),,,,,
HW,Glycolysis Match Game,0,,Maybe,https://www.athleticarcade.com/educational/match/glycolysis.html,Biology,Glycolysis (trial and error matching game),,,,,
HW,Ibiome-Wetland School Edition,0,Flash,No,https://www.brainpop.com/games/ibiomewetlandschooledition/,Biology,Something about ecosystems???,,,,,
HW,Forgotten Island,0,Flash,Maybe,https://citizensort.org/web.php/forgottenisland,Biology,A citizen science game about identifing bugs,>2,4+,Forgotten Island,,
HW,Knowledge Mine,0,Flash,NO!,http://www.spongelab.com/interactives/km/,Biology,Biology test with a game theme.,2,12+,KnowledgeMine,,
HW,Greek Alphabet Match Game,0,,No,https://www.athleticarcade.com/educational/match/greek-alphabet.html,Literature,Greek Alphabet: trial and error matching game,,,,,
HW,Adapted Mind - Math,$10/m,Web,No,http://www.adaptedmind.com/Math-Worksheets.php,Math,Homweork for various types of math problems,,1-6,AdaptedMath,,
HW,Adapted Mind - Reading,0/$10/m,Web,NO!,http://www.adaptedmind.com/reading.php,Literature,Literature test prep,,1-6,AdaptedReading,,
,,,,,,,,,,,,
HW,Production Line,0,Web,No,http://www.kongregate.com/games/ChrisM15/production-line,Physics,What color metals burn,<1/4,6+,ProductionLine,,
HW,Bird Song Hero,0,Web,Yes,https://www.brainpop.com/games/birdsonghero/,Physics,Waveform/Sound association,,4+,,,
HW,Lost In Translation,0,exe  Unreal 4,No,https://mottomi.itch.io/lost-in-translation,Literature,French,,0+,,,
HW,Matter Sorter,0,Flash,Yes,https://www.brainpop.com/games/mattersorter/,Physics,Sort Solids` liquids` gases` and plasmas,<1/4,,,,
,,,,,,,,,,,,
HW,Wuzzit Trouble,0,Firefox,No,https://www.brainpop.com/games/wuzzittrouble/,Math,Add and subtract by fixed values (difficult controls),,1-4,,,
HW,Treefrog Treasure,0,Flash,Yes,https://www.brainpop.com/games/treefrogtreasure/,Math,Fractions/Decimals practice (0 to 1),,1-4,,,
HW,Battleship Numberline,0,Flash,Yes,https://www.brainpop.com/games/battleshipnumberline/,Math,Fractions/Decimals estimation practice,,1-4,,,
HW,Dig It,0,Flash,No,https://www.brainpop.com/games/digit/,Math,Fractions practice (0 to 9),,1-4,,,
HW,Drop Zone,0,Flash,No,https://www.brainpop.com/games/dropzone/,Math,Fractions practice (adding to 1),,1-4,,,
HW,Flower Power,0,Web,No,https://www.brainpop.com/games/flowerpower/,Math,Couldn't figure this one out,,,,,
HW,Monster School Bus,0,Flash,No,https://www.brainpop.com/games/monsterschoolbus/,Math,Adding to 10,,1-2,,,
HW,Pearl Diver,0,Flash,No,https://www.brainpop.com/games/pearldiver/,Math,Number estimation and button mashing,,,,,
HW,Ratio Rumble,0,Flash,No,https://www.brainpop.com/games/ratiorumble/,Math,Ratio practice,,1-4,,,
HW,Branches Of Government Game,0,Flash,No,https://www.brainpop.com/games/branchesofgovernmentgame/,Government,3 US Federal Gov. Branches Test,,,,,
HW,Checks And Balances,0,Flash,No,https://www.brainpop.com/games/checksandbalances/,Government,3 US Federal Gov. Branches Test,,,,,
HW,Chef Solus' Build-A-Meal,0,Flash,No,https://www.brainpop.com/games/chefsolusbuildameal/,Health,Create a day's worth of balanced meals,,,,,
HW,Quill,0,Flash,No,https://www.brainpop.com/games/quill/,Literature,You are an editor (very bland),,,,,
HW,Oncology,0,Flash,Maybe,https://www.brainpop.com/games/oncology/,Biology,How cancer is detected and treated,,,,,
HW,Foldit,0,exe,Maybe,https://fold.it/,Physics,Folding proteins,∞,9+,,,
,,,,,,,,,,,,
HW,World Countries Quiz,0,,Yes,https://www.newgrounds.com/portal/view/629856,Geography,Test names` capitals` or flags of world countries.,,,,,
HW,Conquering Europe,0,,No,https://www.newgrounds.com/portal/view/625046,Geography,Test names or cities of European countries,,,,,
HW,Lord Of The Flies,0,Flash,No,https://www.brainpop.com/games/lordoftheflies/,Literature,Test for the book Lord of the Flies,,,,,
HW,Theoreum,0,exe,No,https://misfitvillage.itch.io/theoreum,Physics,Text dumps,<1/4,,,,
HW,Guts And Bolts,0,Web,Yes,https://www.brainpop.com/games/gutsandbolts/,Biology,Human systems inputs and outputs,,,,,
HW,Build-A-Body: Digestive System,0,Flash,Yes,https://www.brainpop.com/games/buildabodydigestivesystem/,Biology,Human Biology: drag 'n drop,,,,,
HW,Organ Transplant 2,0,,Maybe,https://www.newgrounds.com/portal/view/600659,Biology,Human Biology: drag 'n drop,,,,,
HW,Immune System Game,0,,No,https://www.newgrounds.com/portal/view/478787,Biology,Human Biology: Fill in the blank,,,,,
HW,Build-A-Tree,0,Flash,Yes,https://www.brainpop.com/games/buildatree/,Biology,Tree Biology: drag 'n drop,,,,,
HW,Sortify (Series),0,Web,No,https://www.brainpop.com/games/sortify/,Literature,Vocabulary (sorting by association),,,,,
HW,Tynker (Series),0,Flash,Maybe,https://www.brainpop.com/games/game-finder/?game_keyword=developer:%20Tynker,Programming,Basic programming (Drag 'n drop),,,,,
HW,Time Zone X (Series),0,Web,No,https://www.brainpop.com/games/timezonex/,History,Historical timelines,,,,,
HW,The Meaning Of Beep (Series),0,Web,No,https://www.brainpop.com/games/themeaningofbeep/,Literature,Vocabulary,,,,,
,,,,,,,,,,,,
HW,Chemistry,0,,No,https://www.newgrounds.com/portal/view/635310,Chemistry,Build Molecules,<3/4,,,,
,,,,,,,,,,,,
HW,Circle Master 2,0,Web,Maybe,http://www.kongregate.com/games/akane2002/circle-master-2-gravitation,Physics,Gravity,<0.5,4+,CircleMaster,,
HW,Solarium,0,exe,No,http://sunfleck.com/,Biology,A walking simulator / quiz game about plants.,1,6+,Solarium,,
,,,,,,,,,,,,
,Simulations (There Is No Way To Win Or Lose),Price,Format,Play It?,Link,,Notes,,,,,
Sim,Build A Solar System,0,Flash,No,https://www.brainpop.com/games/buildasolarsystem/,Astro-Physics,2D orbital mechanics sim,<1/4,,,,
,,,,,,,,,,,,
Sim,Color Vision,0,Web,Yes,https://www.brainpop.com/games/colorvision/,Physics,Light spectrum and vision,<1/4,,,,
Sim,Molecules And Light,0,Web,Yes,https://www.brainpop.com/games/moleculesandlight/,Physics,Light interaction with particles,<1/4,,,,
Sim,Phet Interactive Simulations,0,Web,Yes,https://phet.colorado.edu/,Physics,Many physics simulations,a lot,0+,Phet,,
Sim,Explore Learning,,,,https://www.explorelearning.com/,Many,Many physics simulations,a lot,3+,,,
Sim,SimCityEDU,,,,https://www.glasslabgames.org/games/SC,,,,,,,
Sim,The Fiscal Ship,0,Web,No,https://www.brainpop.com/games/thefiscalship/,Government,Balancing the US federal budget,<1/4,,,,
Sim,What Plants Need,0,Flash,Yes,https://www.brainpop.com/games/whatplantsneed/,Biology,Biological inputs of plants: Water` light` CO2,<1/4,,,,
Sim,Desalination,0,Flash,No,https://www.brainpop.com/games/desalination/,Physics,Desalinating water (I couldn't figure it out),<1/4,,,,
Sim,Cool Science Careers: Imagine Y.,0,Flash,Maybe,https://www.brainpop.com/games/coolsciencecareersimagineyourself/,Biology,Neuropsychology` toxicology` epidemiology` neurobiology,,,,,
Sim,District,0,Web,Yes,http://polytrope.com/district/,Government,Gerrymandering ,,,,,
Sim,Parable Of The Polygons,0,Web,Yes,http://ncase.me/polygons/,Math,Statistics of population diversity,<1/2,,,,
Sim,American Revolution Timeline,0,Flash,No,https://www.brainpop.com/games/americanrevolutiontimeline/,History,American revolution timeline,<1/4,,,,
Sim,Pavlov's Dog,0,Flash,No,https://www.brainpop.com/games/pavlovsdog/,Misc.,Phycology: Pavlov's dog and that's it,<1/4,,,,
Sim,Concentration,0,Web,No,https://www.brainpop.com/games/concentration/,Chemistry,Solution concentrations,<1/4,,,,
Sim,Energy Skate Park: Basics,0,Web,Yes,https://www.brainpop.com/games/energyskateparkbasics/,Physics,Energy = Potential + Kinetic + Friction losses,<1/4,,,,
Sim,Graphing Lines,0,Web,No,https://www.brainpop.com/games/graphinglines/,Math,Graphs,<1/4,,,,
Sim,Wave On A String,0,Web,Maybe,https://www.brainpop.com/games/waveonastring/,Physics,Waves,<1/4,,,,
Sim,Quantum Minigolf,0,exe,Maybe,http://quantumminigolf.sourceforge.net/,Physics,Quantum mechanics (uncertainty),<1/4,,,,
Sim,Sizing Up The Universe,0,Web,No,https://www.brainpop.com/games/sizinguptheuniverse/,Astro-Physics,Shows scale of planetary/universal bodies,<1/4,,,,
Sim,Gravity Simulator,0/$6,Web,,http://testtubegames.com/gravity.html,Physics,Gravity,∞,6+,GravitySimulator,,
Sim,Universe Sandbox,25,exe,Maybe,http://store.steampowered.com/app/230290/Universe_Sandbox/,Astro-Physics,Orbits and other planetary physics,<1/4,,,,
